price,address,zipcode
260000,3288 Page Ave #314,23451
280000,3288 Page Ave #308,23451
270000,3288 Page Ave #502,23451
185000,3288 Page Ave #409,23451
200000,3288 Page Ave #509,23451
285000,3288 Page Ave #511,23451
333000,3300 Ocean Shore Ave #1103,23451
400000,3300 Ocean Shore Ave #1105,23451
325000,3300 Ocean Shore Ave #1304,23451
240000,3288 Page Ave #107,23451
350000,3300 Ocean Shore Ave #401,23451
270400,2297 Estuary Ct,23451
375000,3300 Ocean Shore Ave #203,23451
250000,3110 Tidal Bay Ln,23451
270000,3208 Jade Ct #301,23451
295000,2204 Lesner Cres #103,23451
268500,3200 Lynnhaven Dr #203,23451
599900,2140 Vista Cir #301,23451
538000,2140 Vista Cir #207,23451
685000,3236 Page Ave #301,23451
240000,3129 Tidal Bay Ln,23451
655000,3113 Sand Pine Rd,23451
625000,2929 Lynnhaven Dr,23451
523120,2272 Cape Arbor Dr,23451
615000,2273 Cape Arbor Dr,23451
1595000,2745 Broad Bay Rd,23451
590000,2248 Creeks Edge Dr,23451
500000,2136 Bayberry St,23451
1400000,2120 E Admiral Dr,23451
900000,2312 Windward Shore Dr,23451
2020000,2336 Spindrift Rd,23451
439900,2904 Brighton Beach Pl #108,23451
475000,2317 Beach Haven Dr #202,23451
675000,2317 Beach Haven Dr #302,23451
515000,2317 Beach Haven Dr #201,23451
447500,3150 Silver Sands Cir #102,23451
602000,2328 Mooring Pl #11,23451
401000,2903 Bente Way,23451
375000,2911 Odin Pl,23451
550000,2418 Ships Watch Ct,23451
496000,2904 Brighton Beach Pl #308,23451
419900,2830 Shore Dr #410,23451
450000,2830 Shore Dr #209,23451
679900,2245 Beech St,23451
500000,2820 Croix Ct,23451
445000,2340 Croix Dr,23451
690000,2611 Poinciana Dr,23451
550000,2226 Wake Forest St,23451
210000,1909 Chantilly Ct,23451
180000,1841 Chantilly Ct,23451
335000,1649 Dearborn Dr,23451
201000,1259 Credle Rd,23451
440000,1268 Laskin Rd #202,23451
300000,1623 Colonnade Cres,23451
315000,1526 Colonnade Dr,23451
297500,1213 Peoples Way,23451
325000,1220 Peoples Way,23451
315000,1104 Glengarry Way,23451
427000,1408 Brant Rd,23451
219999,103 Saw Grass Bnd,23451
260000,502 Marsh Duck Way,23451
153000,1012 Angler Ln,23451
245000,411 Duck Hunter Ct,23451
325000,1085 Chinquapin Ln,23451
330000,527 Marsh Duck Way,23451
257500,1105 Black Duck Ct,23451
330001,946 Delaware Ave,23451
